epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99537,1.48044,3.97068,1.3724,0.00576,0.33091,0.05072,0.02737,1.61168,3.71002,1.37178,0.00021816,0.00021816,0.00021816
2,8.56452,1.49933,3.32373,1.3212,0.00843,0.50317,0.11728,0.06926,1.56764,3.53193,1.31443,0.000430711,0.000430711,0.000430711
3,12.4089,1.53884,2.70859,1.34411,0.53148,0.0425,0.13829,0.07255,1.68884,3.13084,1.30663,0.000628264,0.000628264,0.000628264
4,14.4628,1.58047,2.22736,1.38822,0.46968,0.26996,0.23494,0.1132,1.72968,2.49906,1.41494,0.000810819,0.000810819,0.000810819
5,18.2715,1.52831,2.01373,1.34917,0.22187,0.40437,0.22665,0.10761,1.79482,2.15264,1.55725,0.000789012,0.000789012,0.000789012
6,21.6388,1.48467,1.86141,1.33761,0.33964,0.45222,0.33584,0.17017,1.74177,1.89059,1.521,0.000759015,0.000759015,0.000759015
7,25.1416,1.4418,1.74495,1.32606,0.31916,0.46155,0.36404,0.17259,1.78246,2.01632,1.54394,0.000729018,0.000729018,0.000729018
8,28.5884,1.43357,1.69932,1.32,0.36269,0.51509,0.41544,0.21268,1.65055,1.81106,1.48289,0.000699021,0.000699021,0.000699021
9,32.1125,1.41993,1.65046,1.29736,0.34694,0.45724,0.40678,0.18973,1.71538,1.90516,1.51038,0.000669024,0.000669024,0.000669024
10,35.7053,1.36559,1.5669,1.27466,0.48031,0.53729,0.45307,0.24562,1.6017,1.6138,1.41579,0.000639027,0.000639027,0.000639027
11,39.1464,1.39936,1.52518,1.29253,0.37743,0.52316,0.41681,0.20804,1.62983,1.69756,1.43421,0.00060903,0.00060903,0.00060903
12,42.4958,1.36929,1.56225,1.29737,0.45382,0.55163,0.475,0.252,1.58671,1.68225,1.43608,0.000579033,0.000579033,0.000579033
13,43.9895,1.3189,1.51881,1.26541,0.48596,0.49963,0.49398,0.25159,1.60333,1.51665,1.37028,0.000549036,0.000549036,0.000549036
14,47.326,1.3254,1.47314,1.2612,0.35831,0.60939,0.44442,0.24236,1.5684,1.50923,1.35442,0.000519039,0.000519039,0.000519039
15,50.9796,1.27903,1.42614,1.24972,0.37805,0.63482,0.50701,0.28561,1.56011,1.46271,1.35498,0.000489042,0.000489042,0.000489042
16,54.2493,1.30455,1.39851,1.24358,0.4726,0.57649,0.49625,0.26112,1.53326,1.40878,1.3669,0.000459045,0.000459045,0.000459045
17,57.538,1.31406,1.43469,1.22745,0.44366,0.60297,0.49098,0.25787,1.48928,1.48978,1.34003,0.000429048,0.000429048,0.000429048
18,60.8992,1.26171,1.38322,1.22325,0.47709,0.59656,0.50994,0.27232,1.52573,1.41581,1.3621,0.000399051,0.000399051,0.000399051
19,64.195,1.31796,1.38486,1.24314,0.44525,0.54201,0.48846,0.26546,1.51064,1.3984,1.31999,0.000369054,0.000369054,0.000369054
20,67.6083,1.26927,1.33212,1.24479,0.41907,0.64965,0.50582,0.27463,1.49257,1.3398,1.32991,0.000339057,0.000339057,0.000339057
